지역,시도,시군구,노인인구수,치매환자수,기관수,총정원,총현원,노인대비_치매비율,노인대비_치매비율(%),정원차이,부족인원,수용률,판단
부산광역시 영도구,부산광역시,영도구,44694.0,3206.94,46.0,1497.0,1320.0,0.07175325547053296,7.18,-1709.94,1709.94,0.47,부족
부산광역시 연제구,부산광역시,연제구,64809.0,4280.78,59.0,2576.0,1926.0,0.06605224583005447,6.61,-1704.7799999999997,1704.7799999999997,0.6,부족
제주특별자치도 제주시,제주특별자치도,제주시,119040.0,8287.36,157.0,6615.0,5738.0,0.06961827956989247,6.96,-1672.3600000000006,1672.3600000000006,0.8,부족
부산광역시 사상구,부산광역시,사상구,68622.0,4059.7200000000003,56.0,2414.0,1785.0,0.05916061904345545,5.92,-1645.7200000000003,1645.7200000000003,0.59,부족
부산광역시 금정구,부산광역시,금정구,75470.0,5075.0,75.0,3498.0,3059.0,0.06724526301841792,6.72,-1577.0,1577.0,0.69,부족
서울특별시 중구,서울특별시,중구,35040.5,2500.6,24.0,924.0,910.0,0.07136313694153908,7.14,-1576.6,1576.6,0.37,부족
제주특별자치도 서귀포시,제주특별자치도,서귀포시,56662.5,4194.74,56.0,2630.0,2248.0,0.07403026693139202,7.4,-1564.7399999999998,1564.7399999999998,0.63,부족
울산광역시 남구,울산광역시,남구,75848.0,4151.42,77.0,2671.0,2427.0,0.054733414196814684,5.47,-1480.42,1480.42,0.64,부족
경상북도 영주시,경상북도,영주시,40755.0,3170.32,55.0,1767.0,1557.0,0.07778971905287695,7.78,-1403.3200000000002,1403.3200000000002,0.56,부족
서울특별시 금천구,서울특별시,금천구,65377.5,4130.85,71.0,2872.0,2539.0,0.06318458185155444,6.32,-1258.8500000000004,1258.8500000000004,0.7,부족
인천광역시 부평구,인천광역시,부평구,133681.5,8347.93,204.0,7159.0,6521.0,0.062446411807168534,6.24,-1188.9300000000003,1188.9300000000003,0.86,부족
경기도 여주시,경기도,여주시,41299.0,2873.21,55.0,1767.0,1552.0,0.06957093392091818,6.96,-1106.21,1106.21,0.61,부족
부산광역시 동래구,부산광역시,동래구,81052.5,5282.74,98.0,4266.0,4119.0,0.06517676814410413,6.52,-1016.7399999999998,1016.7399999999998,0.81,부족
강원특별자치도 홍천군,강원특별자치도,홍천군,29920.5,2163.49,36.0,1237.0,990.0,0.07230794939924132,7.23,-926.4899999999998,926.4899999999998,0.57,부족
경상북도 의성군,경상북도,의성군,28950.0,2508.44,46.0,1630.0,1469.0,0.08664732297063904,8.66,-878.44,878.44,0.65,부족
경기도 과천시,경기도,과천시,18337.5,1162.45,12.0,297.0,294.0,0.06339195637355147,6.34,-865.45,865.45,0.26,부족
경기도 의왕시,경기도,의왕시,40874.5,2490.09,47.0,1653.0,1399.0,0.06092037823092637,6.09,-837.0900000000001,837.0900000000001,0.66,부족
울산광역시 동구,울산광역시,동구,39685.0,2134.34,26.0,1321.0,994.0,0.05378203351392214,5.38,-813.3400000000001,813.3400000000001,0.62,부족
